Module,API Endpoint,HTTP Method,Description,Request Body,Response Data,Status Codes,Authentication Required
Authentication,/api/auth/login,POST,User login with email and password,"{""email"": ""string"", ""password"": ""string""}","{""user"": {""id"": ""string"", ""email"": ""string"", ""name"": ""string"", ""avatar"": ""string""}, ""token"": ""string"", ""refreshToken"": ""string""}","200: Success, 401: Invalid credentials, 400: Validation error",No
Authentication,/api/auth/logout,POST,User logout,"{""refreshToken"": ""string""}","{""message"": ""Logged out successfully""}","200: Success, 401: Unauthorized",Yes
Authentication,/api/auth/refresh-token,POST,Refresh access token,"{""refreshToken"": ""string""}","{""token"": ""string"", ""refreshToken"": ""string""}","200: Success, 401: Invalid token",No
Authentication,/api/auth/forgot-password,POST,Send password reset email,"{""email"": ""string""}","{""message"": ""Password reset email sent""}","200: Success, 404: User not found, 400: Validation error",No
Authentication,/api/auth/reset-password,POST,Reset password with token,"{""token"": ""string"", ""newPassword"": ""string"", ""confirmPassword"": ""string""}","{""message"": ""Password reset successfully""}","200: Success, 400: Invalid token or validation error",No
Authentication,/api/auth/change-password,PUT,Change user password,"{""currentPassword"": ""string"", ""newPassword"": ""string"", ""confirmPassword"": ""string""}","{""message"": ""Password changed successfully""}","200: Success, 400: Invalid current password, 401: Unauthorized",Yes
User Management,/api/user/profile,GET,Get user profile,None,"{""id"": ""string"", ""email"": ""string"", ""name"": ""string"", ""avatar"": ""string"", ""createdAt"": ""string"", ""updatedAt"": ""string""}","200: Success, 401: Unauthorized",Yes
User Management,/api/user/profile,PUT,Update user profile,"{""name"": ""string"", ""avatar"": ""string""}","{""id"": ""string"", ""email"": ""string"", ""name"": ""string"", ""avatar"": ""string"", ""updatedAt"": ""string""}","200: Success, 400: Validation error, 401: Unauthorized",Yes
Blog Management,/api/blogs,GET,Get all blogs with pagination and filters,"Query params: page, limit, status, search","{""blogs"": [{""id"": ""string"", ""title"": ""string"", ""excerpt"": ""string"", ""description"": ""string"", ""author"": ""string"", ""authorAvatar"": ""string"", ""publishedAt"": ""string"", ""status"": ""string"", ""thumbnail"": ""string"", ""readTime"": ""number""}], ""pagination"": {""currentPage"": ""number"", ""totalPages"": ""number"", ""totalItems"": ""number"", ""itemsPerPage"": ""number""}}","200: Success, 401: Unauthorized",Yes
Blog Management,/api/blogs/:id,GET,Get single blog by ID,None,"{""id"": ""string"", ""title"": ""string"", ""excerpt"": ""string"", ""description"": ""string"", ""author"": ""string"", ""authorAvatar"": ""string"", ""publishedAt"": ""string"", ""status"": ""string"", ""thumbnail"": ""string"", ""readTime"": ""number""}","200: Success, 404: Blog not found, 401: Unauthorized",Yes
Blog Management,/api/blogs,POST,Create new blog,"{""title"": ""string"", ""excerpt"": ""string"", ""description"": ""string"", ""author"": ""string"", ""publishedAt"": ""string"", ""status"": ""string"", ""thumbnail"": ""file""}","{""id"": ""string"", ""title"": ""string"", ""excerpt"": ""string"", ""description"": ""string"", ""author"": ""string"", ""authorAvatar"": ""string"", ""publishedAt"": ""string"", ""status"": ""string"", ""thumbnail"": ""string"", ""readTime"": ""number""}","201: Created, 400: Validation error, 401: Unauthorized",Yes
Blog Management,/api/blogs/:id,PUT,Update existing blog,"{""title"": ""string"", ""excerpt"": ""string"", ""description"": ""string"", ""author"": ""string"", ""publishedAt"": ""string"", ""status"": ""string"", ""thumbnail"": ""file""}","{""id"": ""string"", ""title"": ""string"", ""excerpt"": ""string"", ""description"": ""string"", ""author"": ""string"", ""authorAvatar"": ""string"", ""publishedAt"": ""string"", ""status"": ""string"", ""thumbnail"": ""string"", ""readTime"": ""number""}","200: Success, 404: Blog not found, 400: Validation error, 401: Unauthorized",Yes
Blog Management,/api/blogs/:id,DELETE,Delete blog,None,"{""message"": ""Blog deleted successfully""}","200: Success, 404: Blog not found, 401: Unauthorized",Yes
Blog Management,/api/blogs/:id/status,PATCH,Update blog status (publish/unpublish),"{""status"": ""string""}","{""id"": ""string"", ""status"": ""string"", ""updatedAt"": ""string""}","200: Success, 404: Blog not found, 400: Invalid status, 401: Unauthorized",Yes
Video Management,/api/videos,GET,Get all videos with pagination and filters,"Query params: page, limit, status, search","{""videos"": [{""id"": ""string"", ""title"": ""string"", ""description"": ""string"", ""author"": ""string"", ""uploadedAt"": ""string"", ""duration"": ""string"", ""views"": ""number"", ""status"": ""string"", ""thumbnail"": ""string"", ""videoUrl"": ""string""}], ""pagination"": {""currentPage"": ""number"", ""totalPages"": ""number"", ""totalItems"": ""number"", ""itemsPerPage"": ""number""}}","200: Success, 401: Unauthorized",Yes
Video Management,/api/videos/:id,GET,Get single video by ID,None,"{""id"": ""string"", ""title"": ""string"", ""description"": ""string"", ""author"": ""string"", ""uploadedAt"": ""string"", ""duration"": ""string"", ""views"": ""number"", ""status"": ""string"", ""thumbnail"": ""string"", ""videoUrl"": ""string""}","200: Success, 404: Video not found, 401: Unauthorized",Yes
Video Management,/api/videos,POST,Upload new video,"{""title"": ""string"", ""description"": ""string"", ""author"": ""string"", ""videoFile"": ""file"", ""thumbnail"": ""file""}","{""id"": ""string"", ""title"": ""string"", ""description"": ""string"", ""author"": ""string"", ""uploadedAt"": ""string"", ""duration"": ""string"", ""views"": ""number"", ""status"": ""string"", ""thumbnail"": ""string"", ""videoUrl"": ""string""}","201: Created, 400: Validation error, 401: Unauthorized",Yes
Video Management,/api/videos/:id,PUT,Update existing video,"{""title"": ""string"", ""description"": ""string"", ""author"": ""string"", ""videoFile"": ""file"", ""thumbnail"": ""file""}","{""id"": ""string"", ""title"": ""string"", ""description"": ""string"", ""author"": ""string"", ""uploadedAt"": ""string"", ""duration"": ""string"", ""views"": ""number"", ""status"": ""string"", ""thumbnail"": ""string"", ""videoUrl"": ""string""}","200: Success, 404: Video not found, 400: Validation error, 401: Unauthorized",Yes
Video Management,/api/videos/:id,DELETE,Delete video,None,"{""message"": ""Video deleted successfully""}","200: Success, 404: Video not found, 401: Unauthorized",Yes
Video Management,/api/videos/:id/status,PATCH,Update video status (publish/unpublish),"{""status"": ""string""}","{""id"": ""string"", ""status"": ""string"", ""updatedAt"": ""string""}","200: Success, 404: Video not found, 400: Invalid status, 401: Unauthorized",Yes
Video Management,/api/videos/:id/views,POST,Increment video view count,None,"{""id"": ""string"", ""views"": ""number""}","200: Success, 404: Video not found",No
File Upload,/api/upload/image,POST,Upload image file,"{""file"": ""file"", ""type"": ""string""}","{""url"": ""string"", ""filename"": ""string"", ""size"": ""number"", ""mimeType"": ""string""}","200: Success, 400: Invalid file type or size, 401: Unauthorized",Yes
File Upload,/api/upload/video,POST,Upload video file,"{""file"": ""file""}","{""url"": ""string"", ""filename"": ""string"", ""size"": ""number"", ""duration"": ""string"", ""mimeType"": ""string""}","200: Success, 400: Invalid file type or size, 401: Unauthorized",Yes
Dashboard,/api/dashboard/stats,GET,Get dashboard statistics,None,"{""totalBlogs"": ""number"", ""totalVideos"": ""number"", ""totalViews"": ""number"", ""totalUsers"": ""number"", ""recentBlogs"": ""array"", ""recentVideos"": ""array""}","200: Success, 401: Unauthorized",Yes
Search,/api/search,GET,Global search across blogs and videos,"Query params: q, type, limit","{""results"": {""blogs"": ""array"", ""videos"": ""array""}, ""totalResults"": ""number""}","200: Success, 401: Unauthorized",Yes
